propid,propname,proptype,proprules,description,propvalue,message,clickurl,imageref,proporder,propstage,proptag,channel,breuserid,active,brecontext,impressioncount,responsecount,userid,interactionid,dateandtime,isimpression
m1.2.onl_ban.2,m1.2.onl_ban.2,topbanner,1,top banner,0,Top banner,http://www.webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/m1.2.onl_ban.2.jpg,1,2,WelcomeBannerImg,web,aetuk,1,all,15,0,nick,2.022021714484571E13,2022-02-17 14:48:45.0,TRUE
m1.2.onl_rhb.1,m1.2.onl_rhb.1,rightbanner,1,right banner,0,Right hand banner,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/m1.2.onl_rhb.1.jpg,1,2,RightHandBannerContainer,web,aetuk,1,all,16,0,nick,2.0220217144845906E13,2022-02-17 14:48:45.0,TRUE
m1.2.onl_box.1,m1.2.onl_box.1,messagebanner,1,Mortgage rate change,0,Your mortgage rate is changing soon.  It could be  easier to switch to a new deal with us. We'll be in touch soon to remind you and talk you through the simple steps.,http://www.webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/inboxbanner.jpg,1,2,OnlineMsgInboxBody,web,aetuk,1,all,16,0,nick,2.0220217144845816E13,2022-02-17 14:48:45.0,TRUE
m2.2.onl_rhb.1,m2.2.onl_rhb.1,rightbanner,1,top banner,0,Right hand banner,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/m1.4.onl_rhb.3.jpg,2,2,RightHandBannerContainer,web,aetuk,1,all,28,0,2,2.0220217144847617E13,2022-02-17 14:48:47.0,TRUE
m2.2.onl_ban.2,m2.2.onl_ban.2,topbanner,1,top banner,0,Top banner,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/m1.6.onl_ban.2.jpg,2,2,WelcomeBannerImg,web,aetuk,1,all,28,0,2,2.0220217144847406E13,2022-02-17 14:48:47.0,TRUE
4,Proposition 4,inboxpromotion,1,Special promotion inbox,0,Special promotion,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/piggybank.jpg,999,0,PromotionProductRow,web,aetuk,1,all,100,0,2,2.022021714484702E13,2022-02-17 14:48:47.0,TRUE
m3.2.onl_ban.3,m3.2.onl_ban.3,topbanner,1,top banner,0,Top banner,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/m3.2.onl_ban.3.jpg,3,2,WelcomeBannerImg,web,aetuk,1,all,31,0,2,2.0220217144848895E13,2022-02-17 14:48:48.0,TRUE
4,Proposition 4,inboxpromotion,1,Special promotion inbox,0,Special promotion,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/piggybank.jpg,999,0,PromotionProductRow,web,aetuk,1,all,101,0,2,2.0220217144848305E13,2022-02-17 14:48:48.0,TRUE
m3.2.onl_ban.3,m3.2.onl_ban.3,topbanner,1,top banner,0,Top banner,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/m3.2.onl_ban.3.jpg,3,2,WelcomeBannerImg,web,aetuk,1,all,32,0,2,2.0220217144850562E13,2022-02-17 14:48:50.0,TRUE
4,Proposition 4,inboxpromotion,1,Special promotion inbox,0,Special promotion,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/piggybank.jpg,999,0,PromotionProductRow,web,aetuk,1,all,102,0,2,2.022021714485029E13,2022-02-17 14:48:50.0,TRUE
m2.2.onl_ban.2,m2.2.onl_ban.2,topbanner,1,top banner,0,Top banner,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/m1.6.onl_ban.2.jpg,2,2,WelcomeBannerImg,web,aetuk,1,all,15,0,1,2.02202171448517E13,2022-02-17 14:48:51.0,TRUE
m2.2.onl_rhb.1,m2.2.onl_rhb.1,rightbanner,1,top banner,0,Right hand banner,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/m1.4.onl_rhb.3.jpg,2,2,RightHandBannerContainer,web,aetuk,1,all,15,0,1,2.0220217144851957E13,2022-02-17 14:48:51.0,TRUE
