
C:\Apps\git\Batch_JXS_NextBestAction>java -jar xmltocsv-1.0-SNAPSHOT-jar-with-dependencies.jar -input batchtest.csv.json.xml -root root -row row 
propid,propname,proptype,proprules,description,propvalue,message,clickurl,imageref,proporder,propstage,proptag,channel,breuserid,active,brecontext,impressioncount,responsecount,userid,interactionid,dateandtime,isimpression
m1.2.onl_ban.2,m1.2.onl_ban.2,topbanner,1,top banner,0,Top banner,http://www.webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/m1.2.onl_ban.2.jpg,1,2,WelcomeBannerImg,web,aetuk,1,all,5,0,nick,2.0211017132944094E13,2021-10-17 13:29:44.0,TRUE
m1.2.onl_rhb.1,m1.2.onl_rhb.1,rightbanner,1,right banner,0,Right hand banner,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/m1.2.onl_rhb.1.jpg,1,2,RightHandBannerContainer,web,aetuk,1,all,6,0,nick,2.02110171329444E13,2021-10-17 13:29:44.0,TRUE
m1.2.onl_box.1,m1.2.onl_box.1,messagebanner,1,Mortgage rate change,0,Your mortgage rate is changing soon.  It could be  easier to switch to a new deal with us. We'll be in touch soon to remind you and talk you through the simple steps.,http://www.webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/inboxbanner.jpg,1,2,OnlineMsgInboxBody,web,aetuk,1,all,6,0,nick,2.021101713294478E13,2021-10-17 13:29:44.0,TRUE
m2.2.onl_rhb.1,m2.2.onl_rhb.1,rightbanner,1,top banner,0,Right hand banner,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/m1.4.onl_rhb.3.jpg,2,2,RightHandBannerContainer,web,aetuk,1,all,18,0,2,2.0211017132946527E13,2021-10-17 13:29:46.0,TRUE
m2.2.onl_ban.2,m2.2.onl_ban.2,topbanner,1,top banner,0,Top banner,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/m1.6.onl_ban.2.jpg,2,2,WelcomeBannerImg,web,aetuk,1,all,18,0,2,2.021101713294693E13,2021-10-17 13:29:46.0,TRUE
4,Proposition 4,inboxpromotion,1,Special promotion inbox,0,Special promotion,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/piggybank.jpg,999,0,PromotionProductRow,web,aetuk,1,all,66,0,2,2.0211017132946027E13,2021-10-17 13:29:46.0,TRUE
m3.2.onl_ban.3,m3.2.onl_ban.3,topbanner,1,top banner,0,Top banner,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/m3.2.onl_ban.3.jpg,3,2,WelcomeBannerImg,web,aetuk,1,all,11,0,2,2.0211017132947855E13,2021-10-17 13:29:47.0,TRUE
4,Proposition 4,inboxpromotion,1,Special promotion inbox,0,Special promotion,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/piggybank.jpg,999,0,PromotionProductRow,web,aetuk,1,all,67,0,2,2.0211017132947504E13,2021-10-17 13:29:47.0,TRUE
m3.2.onl_ban.3,m3.2.onl_ban.3,topbanner,1,top banner,0,Top banner,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/m3.2.onl_ban.3.jpg,3,2,WelcomeBannerImg,web,aetuk,1,all,12,0,2,2.0211017132948844E13,2021-10-17 13:29:48.0,TRUE
4,Proposition 4,inboxpromotion,1,Special promotion inbox,0,Special promotion,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/piggybank.jpg,999,0,PromotionProductRow,web,aetuk,1,all,68,0,2,2.0211017132948953E13,2021-10-17 13:29:48.0,TRUE
m2.2.onl_ban.2,m2.2.onl_ban.2,topbanner,1,top banner,0,Top banner,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/m1.6.onl_ban.2.jpg,2,2,WelcomeBannerImg,web,aetuk,1,all,5,0,1,2.0211017132950324E13,2021-10-17 13:29:50.0,TRUE
m2.2.onl_rhb.1,m2.2.onl_rhb.1,rightbanner,1,top banner,0,Right hand banner,http://webandserver.com,http://132.145.65.68:8080/prod_html/image2?url=http://wass.freehostia.com/plogger/images/prodrec/examples/m1.4.onl_rhb.3.jpg,2,2,RightHandBannerContainer,web,aetuk,1,all,5,0,1,2.0211017132950145E13,2021-10-17 13:29:50.0,TRUE
